name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation_latitude,geolocation_longitude,:@computed_region_cbhk_fwbd,:@computed_region_nnqa_25f4
Agen,392,Valid,H5,30000,Fell,1814-01-01T00:00:00.000,44.216670,0.616670,44.21667,0.61667,,
Aguada,398,Valid,L6,1620,Fell,1930-01-01T00:00:00.000,-31.600000,-65.233330,-31.6,-65.23333,,
Aguada,398,Valid,L6,1620,Fell,1930-01-01T00:00:00.000,-31.600000,-65.233330,-31.6,-65.23333,,
Aguada,398,Valid,L6,1620,Fell,1930-01-01T00:00:00.000,-31.600000,-65.233330,-31.6,-65.23333,,
Aguada,398,Valid,L6,1620,Fell,1930-01-01T00:00:00.000,-31.600000,-65.233330,-31.6,-65.23333,,
Aguada,398,Valid,L6,1620,Fell,1930-01-01T00:00:00.000,-31.600000,-65.233330,-31.6,-65.23333,,
Aguada,398,Valid,L6,1620,Fell,1930-01-01T00:00:00.000,-31.600000,-65.233330,-31.6,-65.23333,,
Aguada,398,Valid,L6,1620,Fell,1930-01-01T00:00:00.000,-31.600000,-65.233330,-31.6,-65.23333,,
Aguada,398,Valid,L6,1620,Fell,1930-01-01T00:00:00.000,-31.600000,-65.233330,-31.6,-65.23333,,
Aguada,398,Valid,L6,1620,Fell,1930-01-01T00:00:00.000,-31.600000,-65.233330,-31.6,-65.23333,,
Aguada,398,Valid,L6,1620,Fell,1930-01-01T00:00:00.000,-31.600000,-65.233330,-31.6,-65.23333,,
Aguila Blanca,417,Valid,L,1440,Fell,1920-01-01T00:00:00.000,-30.866670,-64.550000,-30.86667,-64.55,,
Aguila Blanca,417,Valid,L,1440,Fell,1920-01-01T00:00:00.000,-30.866670,-64.550000,-30.86667,-64.55,,
Aguila Blanca,417,Valid,L,1440,Fell,1920-01-01T00:00:00.000,-30.866670,-64.550000,-30.86667,-64.55,,
Aguila Blanca,417,Valid,L,1440,Fell,1920-01-01T00:00:00.000,-30.866670,-64.550000,-30.86667,-64.55,,
Aguila Blanca,417,Valid,L,1440,Fell,1920-01-01T00:00:00.000,-30.866670,-64.550000,-30.86667,-64.55,,
Aguila Blanca,417,Valid,L,1440,Fell,1920-01-01T00:00:00.000,-30.866670,-64.550000,-30.86667,-64.55,,
Aguila Blanca,417,Valid,L,1440,Fell,1920-01-01T00:00:00.000,-30.866670,-64.550000,-30.86667,-64.55,,
Aguila Blanca,417,Valid,L,1440,Fell,1920-01-01T00:00:00.000,-30.866670,-64.550000,-30.86667,-64.55,,
Aguila Blanca,417,Valid,L,1440,Fell,1920-01-01T00:00:00.000,-30.866670,-64.550000,-30.86667,-64.55,,
Aguila Blanca,417,Valid,L,1440,Fell,1920-01-01T00:00:00.000,-30.866670,-64.550000,-30.86667,-64.55,,
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974-01-01T00:00:00.000,16.398060,-9.570280,16.39806,-9.57028,,
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974-01-01T00:00:00.000,16.398060,-9.570280,16.39806,-9.57028,,
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974-01-01T00:00:00.000,16.398060,-9.570280,16.39806,-9.57028,,
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974-01-01T00:00:00.000,16.398060,-9.570280,16.39806,-9.57028,,
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974-01-01T00:00:00.000,16.398060,-9.570280,16.39806,-9.57028,,
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974-01-01T00:00:00.000,16.398060,-9.570280,16.39806,-9.57028,,
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974-01-01T00:00:00.000,16.398060,-9.570280,16.39806,-9.57028,,
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974-01-01T00:00:00.000,16.398060,-9.570280,16.39806,-9.57028,,
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974-01-01T00:00:00.000,16.398060,-9.570280,16.39806,-9.57028,,
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974-01-01T00:00:00.000,16.398060,-9.570280,16.39806,-9.57028,,
Aïr,424,Valid,L6,24000,Fell,1925-01-01T00:00:00.000,19.083330,8.383330,19.08333,8.38333,,
Aïr,424,Valid,L6,24000,Fell,1925-01-01T00:00:00.000,19.083330,8.383330,19.08333,8.38333,,
Aïr,424,Valid,L6,24000,Fell,1925-01-01T00:00:00.000,19.083330,8.383330,19.08333,8.38333,,
Aïr,424,Valid,L6,24000,Fell,1925-01-01T00:00:00.000,19.083330,8.383330,19.08333,8.38333,,
Aïr,424,Valid,L6,24000,Fell,1925-01-01T00:00:00.000,19.083330,8.383330,19.08333,8.38333,,
Aïr,424,Valid,L6,24000,Fell,1925-01-01T00:00:00.000,19.083330,8.383330,19.08333,8.38333,,
Aïr,424,Valid,L6,24000,Fell,1925-01-01T00:00:00.000,19.083330,8.383330,19.08333,8.38333,,
Aïr,424,Valid,L6,24000,Fell,1925-01-01T00:00:00.000,19.083330,8.383330,19.08333,8.38333,,
Aïr,424,Valid,L6,24000,Fell,1925-01-01T00:00:00.000,19.083330,8.383330,19.08333,8.38333,,
Aïr,424,Valid,L6,24000,Fell,1925-01-01T00:00:00.000,19.083330,8.383330,19.08333,8.38333,,
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769-01-01T00:00:00.000,50.666670,2.333330,50.66667,2.33333,,
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769-01-01T00:00:00.000,50.666670,2.333330,50.66667,2.33333,,
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769-01-01T00:00:00.000,50.666670,2.333330,50.66667,2.33333,,
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769-01-01T00:00:00.000,50.666670,2.333330,50.66667,2.33333,,
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769-01-01T00:00:00.000,50.666670,2.333330,50.66667,2.33333,,
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769-01-01T00:00:00.000,50.666670,2.333330,50.66667,2.33333,,
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769-01-01T00:00:00.000,50.666670,2.333330,50.66667,2.33333,,
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769-01-01T00:00:00.000,50.666670,2.333330,50.66667,2.33333,,
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769-01-01T00:00:00.000,50.666670,2.333330,50.66667,2.33333,,
Akaba,426,Valid,L6,779,Fell,1949-01-01T00:00:00.000,29.516670,35.050000,29.51667,35.05,,
Akaba,426,Valid,L6,779,Fell,1949-01-01T00:00:00.000,29.516670,35.050000,29.51667,35.05,,
Akaba,426,Valid,L6,779,Fell,1949-01-01T00:00:00.000,29.516670,35.050000,29.51667,35.05,,
Akaba,426,Valid,L6,779,Fell,1949-01-01T00:00:00.000,29.516670,35.050000,29.51667,35.05,,
Akaba,426,Valid,L6,779,Fell,1949-01-01T00:00:00.000,29.516670,35.050000,29.51667,35.05,,
Akaba,426,Valid,L6,779,Fell,1949-01-01T00:00:00.000,29.516670,35.050000,29.51667,35.05,,
Akaba,426,Valid,L6,779,Fell,1949-01-01T00:00:00.000,29.516670,35.050000,29.51667,35.05,,
Akaba,426,Valid,L6,779,Fell,1949-01-01T00:00:00.000,29.516670,35.050000,29.51667,35.05,,
Akaba,426,Valid,L6,779,Fell,1949-01-01T00:00:00.000,29.516670,35.050000,29.51667,35.05,,
Akaba,426,Valid,L6,779,Fell,1949-01-01T00:00:00.000,29.516670,35.050000,29.51667,35.05,,
Akbarpur,427,Valid,H4,1800,Fell,1838-01-01T00:00:00.000,29.716670,77.950000,29.71667,77.95,,
Akbarpur,427,Valid,H4,1800,Fell,1838-01-01T00:00:00.000,29.716670,77.950000,29.71667,77.95,,
Akbarpur,427,Valid,H4,1800,Fell,1838-01-01T00:00:00.000,29.716670,77.950000,29.71667,77.95,,
Akbarpur,427,Valid,H4,1800,Fell,1838-01-01T00:00:00.000,29.716670,77.950000,29.71667,77.95,,
Akbarpur,427,Valid,H4,1800,Fell,1838-01-01T00:00:00.000,29.716670,77.950000,29.71667,77.95,,
Akbarpur,427,Valid,H4,1800,Fell,1838-01-01T00:00:00.000,29.716670,77.950000,29.71667,77.95,,
Akbarpur,427,Valid,H4,1800,Fell,1838-01-01T00:00:00.000,29.716670,77.950000,29.71667,77.95,,
Akbarpur,427,Valid,H4,1800,Fell,1838-01-01T00:00:00.000,29.716670,77.950000,29.71667,77.95,,
Akbarpur,427,Valid,H4,1800,Fell,1838-01-01T00:00:00.000,29.716670,77.950000,29.71667,77.95,,
Akbarpur,427,Valid,H4,1800,Fell,1838-01-01T00:00:00.000,29.716670,77.950000,29.71667,77.95,,
Akwanga,432,Valid,H,3000,Fell,1959-01-01T00:00:00.000,8.916670,8.433330,8.91667,8.43333,,
Akwanga,432,Valid,H,3000,Fell,1959-01-01T00:00:00.000,8.916670,8.433330,8.91667,8.43333,,
Akwanga,432,Valid,H,3000,Fell,1959-01-01T00:00:00.000,8.916670,8.433330,8.91667,8.43333,,
Akwanga,432,Valid,H,3000,Fell,1959-01-01T00:00:00.000,8.916670,8.433330,8.91667,8.43333,,
Akwanga,432,Valid,H,3000,Fell,1959-01-01T00:00:00.000,8.916670,8.433330,8.91667,8.43333,,
Akwanga,432,Valid,H,3000,Fell,1959-01-01T00:00:00.000,8.916670,8.433330,8.91667,8.43333,,
Akwanga,432,Valid,H,3000,Fell,1959-01-01T00:00:00.000,8.916670,8.433330,8.91667,8.43333,,
Akwanga,432,Valid,H,3000,Fell,1959-01-01T00:00:00.000,8.916670,8.433330,8.91667,8.43333,,
Akwanga,432,Valid,H,3000,Fell,1959-01-01T00:00:00.000,8.916670,8.433330,8.91667,8.43333,,
Akwanga,432,Valid,H,3000,Fell,1959-01-01T00:00:00.000,8.916670,8.433330,8.91667,8.43333,,
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981-01-01T00:00:00.000,39.916670,42.816670,39.91667,42.81667,,
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981-01-01T00:00:00.000,39.916670,42.816670,39.91667,42.81667,,
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981-01-01T00:00:00.000,39.916670,42.816670,39.91667,42.81667,,
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981-01-01T00:00:00.000,39.916670,42.816670,39.91667,42.81667,,
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981-01-01T00:00:00.000,39.916670,42.816670,39.91667,42.81667,,
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981-01-01T00:00:00.000,39.916670,42.816670,39.91667,42.81667,,
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981-01-01T00:00:00.000,39.916670,42.816670,39.91667,42.81667,,
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981-01-01T00:00:00.000,39.916670,42.816670,39.91667,42.81667,,
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981-01-01T00:00:00.000,39.916670,42.816670,39.91667,42.81667,,
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981-01-01T00:00:00.000,39.916670,42.816670,39.91667,42.81667,,
Al Rais,446,Valid,CR2-an,160,Fell,1957-01-01T00:00:00.000,24.416670,39.516670,24.41667,39.51667,,
Al Rais,446,Valid,CR2-an,160,Fell,1957-01-01T00:00:00.000,24.416670,39.516670,24.41667,39.51667,,
Al Rais,446,Valid,CR2-an,160,Fell,1957-01-01T00:00:00.000,24.416670,39.516670,24.41667,39.51667,,
Al Rais,446,Valid,CR2-an,160,Fell,1957-01-01T00:00:00.000,24.416670,39.516670,24.41667,39.51667,,
Al Rais,446,Valid,CR2-an,160,Fell,1957-01-01T00:00:00.000,24.416670,39.516670,24.41667,39.51667,,
Al Rais,446,Valid,CR2-an,160,Fell,1957-01-01T00:00:00.000,24.416670,39.516670,24.41667,39.51667,,
Al Rais,446,Valid,CR2-an,160,Fell,1957-01-01T00:00:00.000,24.416670,39.516670,24.41667,39.51667,,
Al Rais,446,Valid,CR2-an,160,Fell,1957-01-01T00:00:00.000,24.416670,39.516670,24.41667,39.51667,,
Al Rais,446,Valid,CR2-an,160,Fell,1957-01-01T00:00:00.000,24.416670,39.516670,24.41667,39.51667,,
Al Rais,446,Valid,CR2-an,160,Fell,1957-01-01T00:00:00.000,24.416670,39.516670,24.41667,39.51667,,
Al Zarnkh,447,Valid,LL5,700,Fell,2001-01-01T00:00:00.000,13.660330,28.960000,13.66033,28.96,,
Al Zarnkh,447,Valid,LL5,700,Fell,2001-01-01T00:00:00.000,13.660330,28.960000,13.66033,28.96,,
Al Zarnkh,447,Valid,LL5,700,Fell,2001-01-01T00:00:00.000,13.660330,28.960000,13.66033,28.96,,
Al Zarnkh,447,Valid,LL5,700,Fell,2001-01-01T00:00:00.000,13.660330,28.960000,13.66033,28.96,,
Al Zarnkh,447,Valid,LL5,700,Fell,2001-01-01T00:00:00.000,13.660330,28.960000,13.66033,28.96,,
Al Zarnkh,447,Valid,LL5,700,Fell,2001-01-01T00:00:00.000,13.660330,28.960000,13.66033,28.96,,
Al Zarnkh,447,Valid,LL5,700,Fell,2001-01-01T00:00:00.000,13.660330,28.960000,13.66033,28.96,,
Al Zarnkh,447,Valid,LL5,700,Fell,2001-01-01T00:00:00.000,13.660330,28.960000,13.66033,28.96,,
Al Zarnkh,447,Valid,LL5,700,Fell,2001-01-01T00:00:00.000,13.660330,28.960000,13.66033,28.96,,
Al Zarnkh,447,Valid,LL5,700,Fell,2001-01-01T00:00:00.000,13.660330,28.960000,13.66033,28.96,,
Alais,448,Valid,CI1,6000,Fell,1806-01-01T00:00:00.000,44.116670,4.083330,44.11667,4.08333,,
Alais,448,Valid,CI1,6000,Fell,1806-01-01T00:00:00.000,44.116670,4.083330,44.11667,4.08333,,
Alais,448,Valid,CI1,6000,Fell,1806-01-01T00:00:00.000,44.116670,4.083330,44.11667,4.08333,,
Alais,448,Valid,CI1,6000,Fell,1806-01-01T00:00:00.000,44.116670,4.083330,44.11667,4.08333,,
Alais,448,Valid,CI1,6000,Fell,1806-01-01T00:00:00.000,44.116670,4.083330,44.11667,4.08333,,
Alais,448,Valid,CI1,6000,Fell,1806-01-01T00:00:00.000,44.116670,4.083330,44.11667,4.08333,,
Alais,448,Valid,CI1,6000,Fell,1806-01-01T00:00:00.000,44.116670,4.083330,44.11667,4.08333,,
Alais,448,Valid,CI1,6000,Fell,1806-01-01T00:00:00.000,44.116670,4.083330,44.11667,4.08333,,
Alais,448,Valid,CI1,6000,Fell,1806-01-01T00:00:00.000,44.116670,4.083330,44.11667,4.08333,,
Alais,448,Valid,CI1,6000,Fell,1806-01-01T00:00:00.000,44.116670,4.083330,44.11667,4.08333,,
Albareto,453,Valid,L/LL4,2000,Fell,1766-01-01T00:00:00.000,44.650000,11.016670,44.65,11.01667,,
Albareto,453,Valid,L/LL4,2000,Fell,1766-01-01T00:00:00.000,44.650000,11.016670,44.65,11.01667,,
Albareto,453,Valid,L/LL4,2000,Fell,1766-01-01T00:00:00.000,44.650000,11.016670,44.65,11.01667,,
Albareto,453,Valid,L/LL4,2000,Fell,1766-01-01T00:00:00.000,44.650000,11.016670,44.65,11.01667,,
Albareto,453,Valid,L/LL4,2000,Fell,1766-01-01T00:00:00.000,44.650000,11.016670,44.65,11.01667,,
Albareto,453,Valid,L/LL4,2000,Fell,1766-01-01T00:00:00.000,44.650000,11.016670,44.65,11.01667,,
Albareto,453,Valid,L/LL4,2000,Fell,1766-01-01T00:00:00.000,44.650000,11.016670,44.65,11.01667,,
Albareto,453,Valid,L/LL4,2000,Fell,1766-01-01T00:00:00.000,44.650000,11.016670,44.65,11.01667,,
Albareto,453,Valid,L/LL4,2000,Fell,1766-01-01T00:00:00.000,44.650000,11.016670,44.65,11.01667,,
Albareto,453,Valid,L/LL4,2000,Fell,1766-01-01T00:00:00.000,44.650000,11.016670,44.65,11.01667,,
Alberta,454,Valid,L,625,Fell,1949-01-01T00:00:00.000,2.000000,22.666670,2.0,22.66667,,
Alberta,454,Valid,L,625,Fell,1949-01-01T00:00:00.000,2.000000,22.666670,2.0,22.66667,,
Alberta,454,Valid,L,625,Fell,1949-01-01T00:00:00.000,2.000000,22.666670,2.0,22.66667,,
Alberta,454,Valid,L,625,Fell,1949-01-01T00:00:00.000,2.000000,22.666670,2.0,22.66667,,
Alberta,454,Valid,L,625,Fell,1949-01-01T00:00:00.000,2.000000,22.666670,2.0,22.66667,,
Alberta,454,Valid,L,625,Fell,1949-01-01T00:00:00.000,2.000000,22.666670,2.0,22.66667,,
Alberta,454,Valid,L,625,Fell,1949-01-01T00:00:00.000,2.000000,22.666670,2.0,22.66667,,
Alberta,454,Valid,L,625,Fell,1949-01-01T00:00:00.000,2.000000,22.666670,2.0,22.66667,,
Alberta,454,Valid,L,625,Fell,1949-01-01T00:00:00.000,2.000000,22.666670,2.0,22.66667,,
Alberta,454,Valid,L,625,Fell,1949-01-01T00:00:00.000,2.000000,22.666670,2.0,22.66667,,
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,2002-01-01T00:00:00.000,45.821330,6.015330,45.82133,6.01533,,
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,2002-01-01T00:00:00.000,45.821330,6.015330,45.82133,6.01533,,
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,2002-01-01T00:00:00.000,45.821330,6.015330,45.82133,6.01533,,
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,2002-01-01T00:00:00.000,45.821330,6.015330,45.82133,6.01533,,
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,2002-01-01T00:00:00.000,45.821330,6.015330,45.82133,6.01533,,
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,2002-01-01T00:00:00.000,45.821330,6.015330,45.82133,6.01533,,
