recclass,year,id
H5,1924-01-01T00:00:00.000,20
H5,1927-01-01T00:00:00.000,10
H5,1928-01-01T00:00:00.000,10
H5,1929-01-01T00:00:00.000,22
H5,1930-01-01T00:00:00.000,22
H5,1935-01-01T00:00:00.000,10
H5,1938-01-01T00:00:00.000,20
H5,1939-01-01T00:00:00.000,10
H5,1946-01-01T00:00:00.000,10
H5,1947-01-01T00:00:00.000,10
H5,1948-01-01T00:00:00.000,10
H5,1949-01-01T00:00:00.000,22
H5,1950-01-01T00:00:00.000,20
H5,1954-01-01T00:00:00.000,10
H5,1956-01-01T00:00:00.000,42
H5,1957-01-01T00:00:00.000,10
H5,1958-01-01T00:00:00.000,10
H5,1959-01-01T00:00:00.000,10
H5,1961-01-01T00:00:00.000,10
H5,1964-01-01T00:00:00.000,10
H5,1966-01-01T00:00:00.000,10
H5,1968-01-01T00:00:00.000,12
H5,1970-01-01T00:00:00.000,22
H5,1971-01-01T00:00:00.000,20
H5,1974-01-01T00:00:00.000,10
H5,1976-01-01T00:00:00.000,10
H5,1977-01-01T00:00:00.000,40
H5,1978-01-01T00:00:00.000,10
H5,1980-01-01T00:00:00.000,10
H5,1982-01-01T00:00:00.000,10
H5,1984-01-01T00:00:00.000,10
H5,1986-01-01T00:00:00.000,10
H5,1987-01-01T00:00:00.000,10
H5,1994-01-01T00:00:00.000,10
H5,1995-01-01T00:00:00.000,20
H5,1996-01-01T00:00:00.000,10
H5,1997-01-01T00:00:00.000,10
H5,1998-01-01T00:00:00.000,32
H5,2000-01-01T00:00:00.000,10
H5,2001-01-01T00:00:00.000,10
H5,2003-01-01T00:00:00.000,22
H5,2006-01-01T00:00:00.000,10
H5,2007-01-01T00:00:00.000,22
H5,2008-01-01T00:00:00.000,10
H5,2009-01-01T00:00:00.000,10
H5,2010-01-01T00:00:00.000,30
H5-6,1939-01-01T00:00:00.000,10
H5-6,1999-01-01T00:00:00.000,10
H5-7,1805-01-01T00:00:00.000,10
H5/6,2004-01-01T00:00:00.000,10
H6,1741-01-01T00:00:00.000,10
H6,1796-01-01T00:00:00.000,10
H6,1805-01-01T00:00:00.000,10
H6,1809-01-01T00:00:00.000,10
H6,1810-01-01T00:00:00.000,10
H6,1812-01-01T00:00:00.000,10
H6,1814-01-01T00:00:00.000,10
H6,1822-01-01T00:00:00.000,10
H6,1825-01-01T00:00:00.000,12
H6,1826-01-01T00:00:00.000,10
H6,1833-01-01T00:00:00.000,10
H6,1834-01-01T00:00:00.000,10
H6,1843-01-01T00:00:00.000,10
H6,1844-01-01T00:00:00.000,10
H6,1846-01-01T00:00:00.000,12
H6,1851-01-01T00:00:00.000,10
H6,1861-01-01T00:00:00.000,10
H6,1865-01-01T00:00:00.000,20
H6,1866-01-01T00:00:00.000,10
H6,1867-01-01T00:00:00.000,10
H6,1868-01-01T00:00:00.000,10
H6,1869-01-01T00:00:00.000,20
H6,1872-01-01T00:00:00.000,10
H6,1876-01-01T00:00:00.000,22
H6,1877-01-01T00:00:00.000,10
H6,1884-01-01T00:00:00.000,20
H6,1887-01-01T00:00:00.000,10
H6,1890-01-01T00:00:00.000,10
H6,1892-01-01T00:00:00.000,10
H6,1897-01-01T00:00:00.000,10
H6,1899-01-01T00:00:00.000,10
H6,1900-01-01T00:00:00.000,10
H6,1902-01-01T00:00:00.000,10
H6,1906-01-01T00:00:00.000,10
H6,1910-01-01T00:00:00.000,10
H6,1912-01-01T00:00:00.000,10
H6,1916-01-01T00:00:00.000,10
H6,1925-01-01T00:00:00.000,10
H6,1928-01-01T00:00:00.000,10
H6,1930-01-01T00:00:00.000,12
H6,1932-01-01T00:00:00.000,22
H6,1934-01-01T00:00:00.000,20
H6,1936-01-01T00:00:00.000,10
H6,1938-01-01T00:00:00.000,12
H6,1939-01-01T00:00:00.000,20
H6,1941-01-01T00:00:00.000,10
H6,1943-01-01T00:00:00.000,10
H6,1950-01-01T00:00:00.000,10
H6,1951-01-01T00:00:00.000,10
H6,1956-01-01T00:00:00.000,10
H6,1961-01-01T00:00:00.000,10
H6,1962-01-01T00:00:00.000,10
H6,1966-01-01T00:00:00.000,10
H6,1967-01-01T00:00:00.000,10
H6,1969-01-01T00:00:00.000,10
H6,1972-01-01T00:00:00.000,10
H6,1973-01-01T00:00:00.000,34
H6,1974-01-01T00:00:00.000,10
H6,1975-01-01T00:00:00.000,10
H6,1980-01-01T00:00:00.000,10
H6,1981-01-01T00:00:00.000,10
H6,1983-01-01T00:00:00.000,10
H6,1984-01-01T00:00:00.000,10
H6,1989-01-01T00:00:00.000,10
H6,1992-01-01T00:00:00.000,12
H6,1993-01-01T00:00:00.000,10
H6,1998-01-01T00:00:00.000,12
H6,2003-01-01T00:00:00.000,10
H?,1817-01-01T00:00:00.000,10
Howardite,1803-01-01T00:00:00.000,10
Howardite,1813-01-01T00:00:00.000,10
Howardite,1845-01-01T00:00:00.000,10
Howardite,1868-01-01T00:00:00.000,12
Howardite,1877-01-01T00:00:00.000,10
Howardite,1882-01-01T00:00:00.000,10
Howardite,1905-01-01T00:00:00.000,10
Howardite,1911-01-01T00:00:00.000,10
Howardite,1925-01-01T00:00:00.000,10
Howardite,1942-01-01T00:00:00.000,20
Howardite,1953-01-01T00:00:00.000,10
Howardite,1994-01-01T00:00:00.000,10
Iron,1621-01-01T00:00:00.000,10
Iron,1898-01-01T00:00:00.000,12
Iron,1913-01-01T00:00:00.000,10
Iron,1914-01-01T00:00:00.000,10
Iron,1922-01-01T00:00:00.000,10
Iron,1926-01-01T00:00:00.000,10
"Iron, IAB-MG",1962-01-01T00:00:00.000,10
"Iron, IAB-sHL",1890-01-01T00:00:00.000,10
"Iron, IAB-sHL",1899-01-01T00:00:00.000,10
"Iron, IAB-sHL",1964-01-01T00:00:00.000,10
"Iron, IAB-sLL",1885-01-01T00:00:00.000,10
"Iron, IAB-sLL",1934-01-01T00:00:00.000,10
"Iron, IAB-ung",1898-01-01T00:00:00.000,10
"Iron, IAB-ung",1921-01-01T00:00:00.000,12
"Iron, IIAB",1847-01-01T00:00:00.000,10
"Iron, IIAB",1904-01-01T00:00:00.000,10
"Iron, IIAB",1908-01-01T00:00:00.000,10
"Iron, IIAB",1916-01-01T00:00:00.000,10
"Iron, IIAB",1947-01-01T00:00:00.000,10
"Iron, IIAB",1986-01-01T00:00:00.000,10
"Iron, IID",1400-01-01T00:00:00.000,10
"Iron, IID",1751-01-01T00:00:00.000,10
"Iron, IID",1912-01-01T00:00:00.000,10
"Iron, IIE",1917-01-01T00:00:00.000,10
"Iron, IIE-an",2006-01-01T00:00:00.000,10
"Iron, IIF",1933-01-01T00:00:00.000,10
"Iron, IIIAB",1876-01-01T00:00:00.000,10
"Iron, IIIAB",1886-01-01T00:00:00.000,12
"Iron, IIIAB",1890-01-01T00:00:00.000,10
"Iron, IIIAB",1918-01-01T00:00:00.000,12
"Iron, IIIAB",1921-01-01T00:00:00.000,10
"Iron, IIIAB",1939-01-01T00:00:00.000,10
"Iron, IIIAB",1961-01-01T00:00:00.000,10
"Iron, IIIAB",1968-01-01T00:00:00.000,10
"Iron, IIIAB",1988-01-01T00:00:00.000,10
"Iron, IIIAB",1990-01-01T00:00:00.000,10
"Iron, IVA",1835-01-01T00:00:00.000,12
"Iron, IVA",1919-01-01T00:00:00.000,10
"Iron, IVA",1975-01-01T00:00:00.000,10
"Iron, IVA",1981-01-01T00:00:00.000,10
"Iron, ungrouped",1870-01-01T00:00:00.000,10
"Iron, ungrouped",1900-01-01T00:00:00.000,10
"Iron, ungrouped",1945-01-01T00:00:00.000,10
"Iron, ungrouped",1993-01-01T00:00:00.000,10
K3,1890-01-01T00:00:00.000,10
L,1632-01-01T00:00:00.000,10
L,1715-01-01T00:00:00.000,10
L,1795-01-01T00:00:00.000,10
L,1886-01-01T00:00:00.000,12
L,1920-01-01T00:00:00.000,10
